Id;X;Y;Z
0;-0.850533;-0.525921;0
1;-0.770376;-0.630432;-0.0952713
2;-0.652845;-0.730105;-0.201841
3;-0.499914;-0.809032;-0.309118
4;-0.326423;-0.854686;-0.403682
5;-0.154075;-0.865647;-0.476357
6;-1.11022e-16;-0.850533;-0.525921
7;-0.865647;-0.476357;-0.154075
8;-0.769591;-0.578795;-0.269677
9;-0.630289;-0.671518;-0.389614
10;-0.456096;-0.738;-0.497325
11;-0.269677;-0.769591;-0.578795
12;-0.0952713;-0.770376;-0.630432
13;-0.854686;-0.403682;-0.326423
14;-0.738;-0.497325;-0.456096
15;-0.57735;-0.57735;-0.57735
16;-0.389614;-0.630289;-0.671518
17;-0.201841;-0.652845;-0.730105
18;-0.809032;-0.309118;-0.499914
19;-0.671518;-0.389614;-0.630289
20;-0.497325;-0.456096;-0.738
21;-0.309118;-0.499914;-0.809032
22;-0.730105;-0.201841;-0.652845
23;-0.578795;-0.269677;-0.769591
24;-0.403682;-0.326423;-0.854686
25;-0.630432;-0.0952713;-0.770376
26;-0.476357;-0.154075;-0.865647
27;-0.525921;0;-0.850533
28;-0.525921;0;0.850533
29;-0.476357;-0.154075;0.865647
30;-0.403682;-0.326423;0.854686
31;-0.309118;-0.499914;0.809032
32;-0.201841;-0.652845;0.730105
33;-0.0952713;-0.770376;0.630432
34;0;-0.850533;0.525921
35;-0.630432;-0.0952713;0.770376
36;-0.578795;-0.269677;0.769591
37;-0.497325;-0.456096;0.738
38;-0.389614;-0.630289;0.671518
39;-0.269677;-0.769591;0.578795
40;-0.154075;-0.865647;0.476357
41;-0.730105;-0.201841;0.652845
42;-0.671518;-0.389614;0.630289
43;-0.57735;-0.57735;0.57735
44;-0.456096;-0.738;0.497325
45;-0.326423;-0.854686;0.403682
46;-0.809032;-0.309118;0.499914
47;-0.738;-0.497325;0.456096
48;-0.630289;-0.671518;0.389614
49;-0.499914;-0.809032;0.309118
50;-0.854686;-0.403682;0.326423
51;-0.769591;-0.578795;0.269677
52;-0.652845;-0.730105;0.201841
53;-0.865647;-0.476357;0.154075
54;-0.770376;-0.630432;0.0952713
55;-0.850533;0.525921;0
56;-0.770376;0.630432;-0.0952713
57;-0.652845;0.730105;-0.201841
58;-0.499914;0.809032;-0.309118
59;-0.326423;0.854686;-0.403682
60;-0.154075;0.865647;-0.476357
61;-1.11022e-16;0.850533;-0.525921
62;-0.865647;0.476357;-0.154075
63;-0.769591;0.578795;-0.269677
64;-0.630289;0.671518;-0.389614
65;-0.456096;0.738;-0.497325
66;-0.269677;0.769591;-0.578795
67;-0.0952713;0.770376;-0.630432
68;-0.854686;0.403682;-0.326423
69;-0.738;0.497325;-0.456096
70;-0.57735;0.57735;-0.57735
71;-0.389614;0.630289;-0.671518
72;-0.201841;0.652845;-0.730105
73;-0.809032;0.309118;-0.499914
74;-0.671518;0.389614;-0.630289
75;-0.497325;0.456096;-0.738
76;-0.309118;0.499914;-0.809032
77;-0.730105;0.201841;-0.652845
78;-0.578795;0.269677;-0.769591
79;-0.403682;0.326423;-0.854686
80;-0.630432;0.0952713;-0.770376
81;-0.476357;0.154075;-0.865647
82;-0.476357;0.154075;0.865647
83;-0.403682;0.326423;0.854686
84;-0.309118;0.499914;0.809032
85;-0.201841;0.652845;0.730105
86;-0.0952713;0.770376;0.630432
87;0;0.850533;0.525921
88;-0.630432;0.0952713;0.770376
89;-0.578795;0.269677;0.769591
90;-0.497325;0.456096;0.738
91;-0.389614;0.630289;0.671518
92;-0.269677;0.769591;0.578795
93;-0.154075;0.865647;0.476357
