Id;Origin;End
0;3;0
1;3;1
2;0;1
3;4;1
4;4;2
5;1;2
6;5;3
7;5;4
8;3;4
9;9;6
10;9;7
11;6;7
12;10;7
13;10;8
14;7;8
15;0;9
16;0;10
17;9;10
18;14;11
19;14;12
20;11;12
21;15;12
22;15;13
23;12;13
24;5;14
25;5;15
26;14;15
27;18;6
28;18;16
29;6;16
30;19;16
31;19;17
32;16;17
33;11;18
34;11;19
35;18;19
36;23;20
37;23;21
38;20;21
39;24;21
40;24;22
41;21;22
42;2;23
43;2;24
44;23;24
45;26;8
46;26;25
47;8;25
48;27;25
49;27;22
50;25;22
51;28;26
52;28;27
53;26;27
54;30;13
55;30;29
56;13;29
57;31;29
58;31;20
59;29;20
60;32;30
61;32;31
62;30;31
63;34;17
64;34;33
65;17;33
66;35;33
67;35;28
68;33;28
69;32;34
70;32;35
71;34;35
72;36;5
73;36;4
74;23;4
75;20;36
76;36;23
77;1;10
78;37;10
79;37;8
80;2;37
81;1;37
82;38;0
83;38;3
84;14;3
85;11;38
86;38;14
87;7;39
88;6;39
89;26;39
90;39;28
91;7;26
92;12;19
93;40;19
94;40;17
95;13;40
96;12;40
97;9;18
98;38;18
99;9;38
100;15;36
101;29;36
102;15;29
103;37;24
104;25;24
105;37;25
106;31;41
107;32;41
108;21;41
109;41;22
110;31;21
111;16;39
112;33;39
113;16;33
114;40;30
115;34;30
116;40;34
117;35;41
118;27;41
119;35;27
